Date_class,retweet_count,favorite_count,followers_count,predict_class_label
4,6,0,0.0364,4
2,14,0,0.435,4
4,1178,1594,43,2
0,0,0,0.0364,4
3,147,0,0.435,4
3,3,0,1.43,4
1,72,0,6.82,4
0,190,0,0.435,1
0,126,0,1.43,2
4,0,3,0.0364,2
4,0,2,0.0364,4
4,3,0,0.136,3
4,4,24,0.0364,4
3,51,0,0.435,3
3,0,1,0.136,2
2,98,0,0.435,1
4,0,17,0.0364,2
4,10,39,0.136,4
3,23,0,0.435,4
2,181,0,0.435,3
0,1096,5344,6.82,4
0,79,0,6.82,4
1,19,0,6.82,4
0,205,608,43,2
3,146,0,0.435,2
3,15,0,0.435,3
1,210,0,0.435,1
4,1,0,0.0364,4
1,262,0,0.435,4
1,5,0,1.43,3
0,1337,0,0.435,2
0,243,206,43,4
2,50,406,6.82,4
3,63,461,6.82,3
4,41,331,6.82,2
4,6,20,0.136,4
4,0,0,0.136,4
0,13,25,0.136,2
2,2,0,0.435,2
0,172,0,0.435,4
2,1310,0,43,2
0,69,0,6.82,1
0,1404,0,1.43,1
3,31,0,6.82,2
4,3,7,0.136,4
0,8,0,0.0364,2
3,155,0,0.435,2
1,7886,38299,43,2
0,55,0,0.0364,3
2,174,408,43,3
2,1,9,1.43,4
3,4,23,0.136,2
0,5365,35729,43,2
4,15555,26502,43,4
0,19,0,0.0364,2
0,75,218,43,2
3,4440,0,1.43,1
3,23,83,0.136,3
3,28,91,1.43,4
0,1,33,0.0364,2
1,19495,117842,43,2
3,531,771,43,2
0,456,1018,43,2
4,3,12,0.0364,4
2,31,86,1.43,4
0,523,0,43,2
2,13,38,1.43,4
1,7,113,0.435,4
0,0,0,1.43,1
0,19,96,1.43,4
2,23,0,6.82,4
0,17507,0,0.0364,1
1,3,0,1.43,1
0,31,52,0.136,4
3,783,1614,43,3
4,1,5,0.136,4
3,32693,288456,43,3
0,0,2,0.136,4
1,4,0,1.43,4
0,462,784,43,3
4,18,0,0.136,2
3,1,0,0.0364,3
4,4,0,0.136,2
2,1144,583,43,2
4,106,469,43,2
4,0,0,0.0364,2
1,2,0,0.435,3
0,25,68,1.43,4
4,7,0,0.0364,1
4,5,7,0.136,3
2,22,0,1.43,4
3,359,799,0.435,4
1,5,0,0.435,1
0,17,0,0.435,4
4,0,6,0.0364,4
1,0,2,1.43,2
0,2078,5056,43,2
1,1029,6936,6.82,2
3,2,14,0.136,3
3,4,0,0.0364,4
0,25,147,0.136,3
0,96,0,0.0364,2
0,1079,1665,43,3
3,812,0,0.435,3
0,0,2,0.0364,3
0,0,1,0.0364,4
2,41,0,0.435,3
4,6550,5991,43,2
3,2,2,0.136,4
0,27,94,6.82,4
1,32,0,6.82,2
3,46,0,0.435,4
0,134,0,0.435,4
2,0,1,0.0364,2
2,0,0,1.43,4
0,50,279,0.136,4
3,53,0,1.43,4
0,0,1,0.136,4
3,58,0,0.435,1
3,104,0,6.82,4
0,9,0,0.136,3
3,11,35,0.136,3
3,2,0,0.0364,4
3,239,0,0.435,4
3,2143,0,0.0364,4
3,29,169,6.82,2
0,0,2,0.136,4
2,811,940,43,2
