date,retweet_count,favorite_count,followers_count,predict_class_label
2017-11-09 05:10:43,2480,39179,10,4
2017-11-08 09:44:45,1390,21869,10,4
2017-11-07 04:39:36,3155,46243,10,2
2017-11-06 15:24:21,2355,28671,10,2
2017-11-06 14:34:19,254,1999,10,2
2017-11-06 14:31:48,144,1701,10,2
2017-11-06 14:31:07,186,2240,10,2
2017-11-06 14:29:50,367,5938,10,4
2017-11-06 14:25:53,108,762,10,2
2017-11-06 14:22:24,279,2626,10,4
2017-11-06 14:17:31,143,1755,10,2
2017-11-06 14:15:48,129,1729,10,2
2017-11-06 14:14:47,117,1108,10,2
2017-11-06 14:13:53,226,4416,10,4
2017-11-06 14:11:49,161,2150,10,4
2017-11-06 14:09:57,170,3084,10,2
2017-11-06 14:09:21,122,1535,10,4
2017-11-06 14:06:47,131,1608,10,4
2017-11-06 14:05:37,600,9467,10,4
2017-11-06 14:04:55,157,1576,10,2
2017-11-06 14:04:32,296,4307,10,2
2017-11-06 13:15:34,1365,0,10,4
2017-11-05 15:43:49,5680,59229,10,2
2017-11-04 18:59:21,17456,148977,10,2
2017-11-03 11:55:41,446,0,10,4
2017-11-03 11:33:43,893,13431,10,1
2017-11-03 11:27:05,1286,19303,10,4
2017-11-01 18:17:35,10373,92444,10,2
2017-11-01 06:45:38,2652,42758,10,2
2017-10-29 17:25:06,14116,136862,10,2
2017-10-26 17:30:39,4355,79971,10,2
2017-10-25 16:16:18,5425,78941,10,2
2017-10-19 15:22:38,5974,93325,10,2
2017-10-18 16:28:59,3535,39220,10,2
2017-10-18 12:21:29,950,11093,10,3
2017-10-18 05:16:13,800,12184,10,4
2017-10-17 15:14:36,156,1105,10,4
2017-10-17 11:33:16,570,0,10,1
2017-10-17 06:54:50,4867,67272,10,2
2017-10-16 16:53:54,1762,22410,10,2
2017-10-16 13:14:04,433,5919,10,4
2017-10-16 11:09:02,3344,45893,10,2
2017-10-15 18:51:13,2897,35226,10,2
2017-10-15 05:40:59,471,0,10,4
2017-10-14 06:16:00,363,0,10,2
2017-10-14 05:40:31,1700,25870,10,4
2017-10-13 16:31:55,1234,14837,10,2
2017-10-09 15:18:25,1834,21472,10,1
2017-10-08 11:21:25,16269,114108,10,4
2017-10-06 09:53:34,359,0,10,4
2017-10-06 07:54:00,1656,23305,10,2
2017-10-05 06:37:14,1420,17226,10,2
2017-10-04 13:02:28,2305,36386,10,4
2017-10-03 08:47:20,1097,13647,10,4
2017-10-02 13:49:49,3506,36786,10,2
2017-10-01 17:28:25,10527,94386,10,2
2017-09-30 15:38:56,2929,49386,10,2
2017-09-24 17:28:55,8976,75523,10,2
2017-09-23 14:32:10,2667,39572,10,2
2017-09-22 13:06:47,2534,31687,10,2
2017-09-20 16:39:38,2724,23291,10,4
2017-09-16 14:06:11,3386,41760,10,4
2017-09-15 13:57:37,1618,22742,10,4
2017-09-14 10:20:38,3595,0,10,2
2017-09-13 16:40:11,1981,30040,10,1
2017-09-13 16:38:20,2152,27590,10,2
2017-09-12 08:30:19,4743,52763,10,2
2017-09-09 09:38:44,1902,28897,10,2
2017-09-08 10:07:16,4431,60336,10,2
2017-09-08 06:49:18,382,3616,10,4
2017-09-08 04:10:40,1587,16531,10,3
2017-09-05 07:51:22,8848,66605,10,2
2017-09-04 13:09:19,1185,13934,10,2
2017-09-04 07:21:52,3086,48446,10,2
2017-09-01 08:17:29,548,9127,10,4
2017-09-01 08:16:35,921,0,10,4
2017-09-01 08:16:14,998,0,10,2
2017-09-01 08:13:29,1140,18842,10,2
2017-08-30 12:29:39,1040,11472,10,4
2017-08-28 13:54:59,3696,43038,10,4
2017-08-28 07:32:15,2349,36935,10,2
2017-08-27 05:14:42,3722,31841,10,2
2017-08-26 07:06:49,2569,45305,10,2
2017-08-22 16:13:00,266,1407,10,2
2017-08-22 12:21:57,652,9638,10,1
2017-08-22 11:45:34,1344,15862,10,4
2017-08-21 12:04:34,1972,25610,10,4
2017-08-21 05:49:22,2983,46103,10,2
2017-08-18 11:45:10,4393,45238,10,2
2017-08-18 06:14:35,2935,46622,10,2
2017-08-15 10:33:33,4825,50833,10,2
2017-08-14 10:59:23,4393,47359,10,2
2017-08-14 02:43:40,2729,44111,10,4
2017-08-10 11:28:16,822,8886,10,3
2017-08-10 11:27:52,8604,0,10,1
2017-08-09 08:00:44,1008,12254,10,4
2017-08-08 15:51:58,2023,30488,10,2
2017-08-08 09:09:19,4839,49679,10,2
2017-08-08 05:44:25,1322,16150,10,2
2017-08-07 13:31:49,1954,34152,10,2
2017-08-07 07:55:03,3084,42568,10,2
2017-08-06 16:02:52,6960,74932,10,2
2017-08-02 13:06:58,2079,23126,10,2
2017-08-02 06:30:15,1895,36006,10,2
2017-08-01 11:50:36,4830,27793,10,2
2017-08-01 07:46:10,1334,14914,10,2
2017-07-31 05:21:08,1868,19022,10,4
2017-07-30 13:07:23,1365,0,10,3
2017-07-30 09:25:54,2682,0,10,4
2017-07-30 07:16:52,3364,51087,10,2
2017-07-29 12:13:19,5162,59314,10,2
2017-07-25 05:21:50,3710,56511,10,2
2017-07-23 05:55:41,3045,44075,10,2
2017-07-22 12:04:10,2820,25885,10,2
2017-07-20 17:13:30,5863,48538,10,4
2017-07-19 12:56:12,2788,40020,10,4
2017-07-16 14:11:44,2714,42885,10,2
2017-07-16 05:01:57,2763,39046,10,1
2017-07-14 04:22:45,2315,36877,10,3
2017-07-13 14:36:22,381,0,10,4
2017-07-13 14:09:28,998,10496,10,4
2017-07-12 13:08:45,7111,55391,10,2
2017-07-11 12:58:25,2439,18840,10,4
2017-07-07 18:50:21,10702,92183,10,2
2017-07-07 18:12:47,8787,73763,10,2
2017-07-07 03:18:41,7045,68838,10,2
2017-07-03 18:45:57,2849,44088,10,2
2017-06-14 07:16:58,6128,83367,10,2
2017-06-10 16:00:21,4325,44227,10,2
2017-06-10 07:03:30,3977,47841,10,2
2017-06-10 07:03:06,827,10458,10,2
2017-06-07 11:29:19,2126,26746,10,2
2017-06-06 16:23:23,1132,18094,10,2
2017-06-06 16:22:49,912,13936,10,2
2017-06-06 16:21:48,928,14453,10,2
2017-06-06 16:21:22,868,12777,10,2
2017-06-06 16:20:24,834,11922,10,2
2017-06-06 16:17:35,1065,15322,10,2
2017-06-06 11:18:02,1669,18875,10,4
2017-06-06 11:17:47,1636,19542,10,2
2017-06-06 11:17:12,412,3847,10,2
2017-06-06 11:01:30,966,12091,10,4
2017-06-06 11:00:53,413,4597,10,2
2017-06-05 18:32:32,1784,16558,10,4
2017-06-05 17:20:55,2225,26308,10,2
2017-06-02 07:39:39,1614,16726,10,2
2017-05-31 08:26:52,821,10770,10,2
2017-05-29 13:29:33,509,0,10,4
2017-05-29 10:45:51,845,0,10,4
2017-05-29 09:03:40,5140,64098,10,2
2017-05-25 14:33:24,1589,23292,10,4
2017-05-25 11:38:39,3625,28995,10,2
2017-05-25 07:35:56,922,10104,10,4
2017-05-23 12:42:47,4187,31782,10,2
2017-05-22 13:30:26,685,0,10,4
2017-05-22 11:36:07,1328,14321,10,1
2017-05-18 11:03:26,3355,36489,10,2
2017-05-17 16:33:41,687,2744,10,2
2017-05-17 15:42:04,1209,12123,10,2
2017-05-17 11:24:01,3689,34056,10,2
2017-05-16 11:44:41,1753,18053,10,2
2017-05-15 11:30:19,2109,16798,10,4
2017-05-15 10:07:34,1463,20430,10,4
2017-05-11 12:12:36,2535,31260,10,4
2017-05-11 06:05:41,686,0,10,1
2017-05-07 15:13:23,8173,52823,10,2
2017-05-04 14:53:30,1215,0,10,4
2017-05-03 07:58:26,522,0,10,4
2017-04-30 15:46:29,5082,46472,10,2
2017-04-27 09:02:29,710,7434,10,4
2017-04-27 08:32:46,1367,12565,10,3
2017-04-26 14:17:45,1484,18267,10,2
